2026-03-03 11:21:56,086 | INFO | run_ingestion | ============================================================
2026-03-03 11:21:56,086 | INFO | run_ingestion | 🚀 DÉMARRAGE PIPELINE INGESTION
2026-03-03 11:21:56,086 | INFO | run_ingestion | ============================================================
2026-03-03 11:21:56,086 | INFO | run_ingestion | 📂 ÉTAPE 1 : Chargement des documents...
2026-03-03 11:21:56,086 | INFO | loader | 📂 Dossier scanné (récursif) : ./data/raw
2026-03-03 11:21:56,087 | INFO | loader | ⏭️ Déjà traité (hash) : (20221121) - 887555076 - ATTESTATION DE REMUNERATION 2022.pdf
2026-03-03 11:21:56,089 | INFO | loader | ⏭️ Déjà traité (hash) : acte de naissance 2.pdf
2026-03-03 11:21:56,091 | INFO | loader | ⏭️ Déjà traité (hash) : Détails des Notes Gaya KDYEM.pdf
2026-03-03 11:21:56,092 | INFO | loader | ⏭️ Déjà traité (hash) : index.html
2026-03-03 11:21:56,093 | INFO | loader | ⏭️ Déjà traité (hash) : (20221121) - 887555076 - GRAND LIVRE MICRO 2022.pdf
2026-03-03 11:21:56,094 | INFO | loader | ⏭️ Déjà traité (hash) : Attestation_d'hebergement.pdf
2026-03-03 11:21:56,096 | INFO | loader | ⏭️ Déjà traité (hash) : AVIS_APRÈS_FORMATION_B1_V__B2_V__BC_BR_-_KDYEM_Gaya.pdf
2026-03-03 11:21:56,097 | INFO | loader | ⏭️ Déjà traité (hash) : KDYEM GAYA - NEOSPACE - Campus.pdf
2026-03-03 11:21:56,098 | INFO | loader | ⏭️ Déjà traité (hash) : Echéancier.pdf
2026-03-03 11:21:56,099 | INFO | loader | ⏭️ Déjà traité (hash) : CVPROV-AUTO-A568855-02-20230313-150337.PDF
2026-03-03 11:21:56,100 | INFO | loader | ⏭️ Déjà traité (hash) : LP OCI Diploma.pdf
2026-03-03 11:21:56,104 | INFO | loader | ⏭️ Déjà traité (hash) : TCF Gaya KDYEM.pdf
2026-03-03 11:21:56,113 | INFO | loader | ⏭️ Déjà traité (hash) : BAC.pdf
2026-03-03 11:21:56,114 | INFO | loader | ⏭️ Déjà traité (hash) : Attestation d’assurance pour la nouvelle période de garantie.pdf
2026-03-03 11:21:56,114 | INFO | loader | ⏭️ Déjà traité (hash) : KBIS.pdf
2026-03-03 11:21:56,118 | INFO | loader | ⏭️ Déjà traité (hash) : Kbis KDYEM.pdf
2026-03-03 11:21:56,125 | INFO | loader | ⏭️ Déjà traité (hash) : RNBac.pdf
2026-03-03 11:21:56,128 | INFO | loader | ⏭️ Déjà traité (hash) : BTS.pdf
2026-03-03 11:21:56,131 | INFO | loader | ⏭️ Déjà traité (hash) : KDYEM GAYA (1).pdf
2026-03-03 11:21:56,133 | INFO | loader | ⏭️ Déjà traité (hash) : CVFACS-AUTO-A568855-02-20230313-150255.PDF
2026-03-03 11:21:56,133 | INFO | loader | 📊 Total documents chargés : 0
2026-03-03 11:21:56,133 | ERROR | run_ingestion | ❌ Aucun document chargé. Vérifiez le dossier data/raw/
