2026-03-06 16:02:27,675 | INFO | run_ingestion | ============================================================
2026-03-06 16:02:27,675 | INFO | run_ingestion | 🚀 DÉMARRAGE PIPELINE INGESTION
2026-03-06 16:02:27,675 | INFO | run_ingestion | ============================================================
2026-03-06 16:02:27,675 | INFO | run_ingestion | 📂 ÉTAPE 1 : Chargement des documents...
2026-03-06 16:02:27,675 | INFO | loader | 📂 Dossier scanné (récursif) : ./data/raw
2026-03-06 16:02:41,132 | INFO | loader | ✅ Chargé : IBMPolicy_Assessment_and_Compliance751_en.pdf (614 pages/sections)
2026-03-06 16:02:54,916 | INFO | loader | ✅ Chargé : IBMUnstructuredData_Identification_and_Management751_en.pdf (614 pages/sections)
2026-03-06 16:02:59,368 | INFO | loader | ✅ Chargé : a-practical-guide-to-building-agents.pdf (34 pages/sections)
2026-03-06 16:03:03,503 | INFO | loader | ✅ Chargé : understanding-machine-learning-theory-algorithms.pdf (449 pages/sections)
2026-03-06 16:03:03,504 | INFO | loader | 📊 Total documents chargés : 1711
2026-03-06 16:03:03,504 | INFO | run_ingestion | ✅ 1711 pages/sections chargées
2026-03-06 16:03:03,504 | INFO | run_ingestion | 🔍 ÉTAPE 2 : Parsing et nettoyage...
2026-03-06 16:03:03,504 | INFO | parser | 🔍 Parsing de 1711 documents...
2026-03-06 16:03:03,541 | WARNING | parser | ⚠️  Page trop courte ignorée (0 chars) — a-practical-guide-to-building-agents.pdf
2026-03-06 16:03:03,541 | WARNING | parser | ⚠️  Page trop courte ignorée (0 chars) — understanding-machine-learning-theory-algorithms.pdf
2026-03-06 16:03:03,541 | WARNING | parser | ⚠️  Page trop courte ignorée (0 chars) — understanding-machine-learning-theory-algorithms.pdf
2026-03-06 16:03:03,542 | WARNING | parser | ⚠️  Page trop courte ignorée (0 chars) — understanding-machine-learning-theory-algorithms.pdf
2026-03-06 16:03:03,542 | WARNING | parser | ⚠️  Page trop courte ignorée (18 chars) — understanding-machine-learning-theory-algorithms.pdf
2026-03-06 16:03:03,542 | WARNING | parser | ⚠️  Page trop courte ignorée (0 chars) — understanding-machine-learning-theory-algorithms.pdf
