2026-03-06 17:30:03,469 | INFO | run_ingestion | ============================================================
2026-03-06 17:30:03,470 | INFO | run_ingestion | 🚀 DÉMARRAGE PIPELINE INGESTION
2026-03-06 17:30:03,470 | INFO | run_ingestion | ============================================================
2026-03-06 17:30:03,470 | INFO | run_ingestion | 📂 ÉTAPE 1 : Chargement des documents...
2026-03-06 17:30:03,470 | INFO | loader | 📂 Dossier scanné (récursif) : ./data/raw
2026-03-06 17:30:05,999 | INFO | loader | ✅ Chargé : IBMPolicy_Assessment_and_Compliance751_en.pdf (614 pages/sections)
2026-03-06 17:30:07,107 | INFO | loader | ✅ Chargé : IBMUnstructuredData_Identification_and_Management751_en.pdf (614 pages/sections)
2026-03-06 17:30:07,348 | INFO | loader | ✅ Chargé : a-practical-guide-to-building-agents.pdf (34 pages/sections)
2026-03-06 17:30:08,006 | INFO | loader | ✅ Chargé : understanding-machine-learning-theory-algorithms.pdf (449 pages/sections)
2026-03-06 17:30:08,006 | INFO | loader | 📊 Total documents chargés : 1711
2026-03-06 17:30:08,006 | INFO | run_ingestion | ✅ 1711 pages/sections chargées
2026-03-06 17:30:08,006 | INFO | run_ingestion | 🔍 ÉTAPE 2 : Parsing et nettoyage...
2026-03-06 17:30:08,006 | INFO | parser | 🔍 Parsing de 1711 documents...
2026-03-06 17:30:08,052 | WARNING | parser | ⚠️  Page trop courte ignorée (0 chars) — a-practical-guide-to-building-agents.pdf
2026-03-06 17:30:08,052 | WARNING | parser | ⚠️  Page trop courte ignorée (0 chars) — understanding-machine-learning-theory-algorithms.pdf
2026-03-06 17:30:08,053 | WARNING | parser | ⚠️  Page trop courte ignorée (0 chars) — understanding-machine-learning-theory-algorithms.pdf
2026-03-06 17:30:08,054 | WARNING | parser | ⚠️  Page trop courte ignorée (0 chars) — understanding-machine-learning-theory-algorithms.pdf
2026-03-06 17:30:08,054 | WARNING | parser | ⚠️  Page trop courte ignorée (18 chars) — understanding-machine-learning-theory-algorithms.pdf
2026-03-06 17:30:08,054 | WARNING | parser | ⚠️  Page trop courte ignorée (0 chars) — understanding-machine-learning-theory-algorithms.pdf
2026-03-06 17:30:08,060 | WARNING | parser | ⚠️  Page trop courte ignorée (0 chars) — understanding-machine-learning-theory-algorithms.pdf
2026-03-06 17:30:08,060 | WARNING | parser | ⚠️  Page trop courte ignorée (0 chars) — understanding-machine-learning-theory-algorithms.pdf
2026-03-06 17:30:08,070 | WARNING | parser | ⚠️  Page trop courte ignorée (0 chars) — understanding-machine-learning-theory-algorithms.pdf
2026-03-06 17:30:08,071 | WARNING | parser | ⚠️  Page trop courte ignorée (0 chars) — understanding-machine-learning-theory-algorithms.pdf
2026-03-06 17:30:08,076 | WARNING | parser | ⚠️  Page trop courte ignorée (0 chars) — understanding-machine-learning-theory-algorithms.pdf
2026-03-06 17:30:08,080 | WARNING | parser | ⚠️  Page trop courte ignorée (0 chars) — understanding-machine-learning-theory-algorithms.pdf
2026-03-06 17:30:08,081 | INFO | parser | ✅ Parsing terminé : 1699 documents conservés, 12 ignorés
2026-03-06 17:30:08,082 | INFO | run_ingestion | ✅ 1699 documents après nettoyage
2026-03-06 17:30:08,082 | INFO | run_ingestion | ✂️  ÉTAPE 3 : Chunking...
2026-03-06 17:30:08,082 | INFO | chunker | ✂️  Chunking — taille: 512, overlap: 50
2026-03-06 17:30:08,179 | INFO | chunker | ✅ 6034 chunks créés depuis 1699 documents
2026-03-06 17:30:08,180 | INFO | chunker |    📄 IBMPolicy_Assessment_and_Compliance751_en.pdf → 1898 chunks
2026-03-06 17:30:08,180 | INFO | chunker |    📄 IBMUnstructuredData_Identification_and_Management751_en.pdf → 1909 chunks
2026-03-06 17:30:08,180 | INFO | chunker |    📄 a-practical-guide-to-building-agents.pdf → 76 chunks
2026-03-06 17:30:08,180 | INFO | chunker |    📄 understanding-machine-learning-theory-algorithms.pdf → 2151 chunks
2026-03-06 17:30:08,180 | INFO | run_ingestion | ✅ 6034 chunks créés
2026-03-06 17:30:08,180 | INFO | run_ingestion | 🧠 ÉTAPE 4 : Embedding et indexation...
2026-03-06 17:30:08,180 | INFO | embedder | 🚀 Début embedding de 6034 chunks...
2026-03-06 17:30:08,323 | INFO | chromadb.telemetry.product.posthog | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2026-03-06 17:30:08,435 | INFO | embedder | 📦 Chunks déjà dans ChromaDB : 0
2026-03-06 17:30:08,436 | INFO | embedder | 📤 6034 nouveaux chunks à embedder...
2026-03-06 17:30:10,056 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-03-06 17:30:10,461 | INFO | embedder | ✅ Batch 1/61 — 100 chunks indexés
2026-03-06 17:30:11,837 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-03-06 17:30:12,265 | INFO | embedder | ✅ Batch 2/61 — 100 chunks indexés
2026-03-06 17:30:12,810 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-03-06 17:30:13,024 | INFO | embedder | ✅ Batch 3/61 — 100 chunks indexés
2026-03-06 17:30:13,628 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-03-06 17:30:14,045 | INFO | embedder | ✅ Batch 4/61 — 100 chunks indexés
2026-03-06 17:30:25,414 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2026-03-06 17:30:25,661 | INFO | embedder | ✅ Batch 5/61 — 100 chunks indexés
