2026-03-04 10:00:58,863 | INFO | run_ingestion | ============================================================
2026-03-04 10:00:58,863 | INFO | run_ingestion | 🚀 DÉMARRAGE PIPELINE INGESTION
2026-03-04 10:00:58,863 | INFO | run_ingestion | ============================================================
2026-03-04 10:00:58,863 | INFO | run_ingestion | 📂 ÉTAPE 1 : Chargement des documents...
2026-03-04 10:00:58,863 | INFO | loader | 📂 Dossier scanné (récursif) : ./data/raw
2026-03-04 10:00:58,864 | INFO | loader | ⏭️ Déjà traité (hash) : (20221121) - 887555076 - ATTESTATION DE REMUNERATION 2022.pdf
2026-03-04 10:00:58,866 | INFO | loader | ⏭️ Déjà traité (hash) : acte de naissance 2.pdf
2026-03-04 10:00:58,868 | INFO | loader | ⏭️ Déjà traité (hash) : Détails des Notes Gaya KDYEM.pdf
2026-03-04 10:00:58,869 | INFO | loader | ⏭️ Déjà traité (hash) : index.html
2026-03-04 10:00:58,871 | INFO | loader | ⏭️ Déjà traité (hash) : (20221121) - 887555076 - GRAND LIVRE MICRO 2022.pdf
2026-03-04 10:00:58,872 | INFO | loader | ⏭️ Déjà traité (hash) : Attestation_d'hebergement.pdf
2026-03-04 10:00:58,874 | INFO | loader | ⏭️ Déjà traité (hash) : AVIS_APRÈS_FORMATION_B1_V__B2_V__BC_BR_-_KDYEM_Gaya.pdf
2026-03-04 10:00:58,875 | INFO | loader | ⏭️ Déjà traité (hash) : KDYEM GAYA - NEOSPACE - Campus.pdf
2026-03-04 10:00:58,876 | INFO | loader | ⏭️ Déjà traité (hash) : Echéancier.pdf
2026-03-04 10:00:58,876 | INFO | loader | ⏭️ Déjà traité (hash) : CVPROV-AUTO-A568855-02-20230313-150337.PDF
2026-03-04 10:00:58,879 | INFO | loader | ⏭️ Déjà traité (hash) : LP OCI Diploma.pdf
2026-03-04 10:00:58,882 | INFO | loader | ⏭️ Déjà traité (hash) : TCF Gaya KDYEM.pdf
2026-03-04 10:00:58,885 | INFO | loader | ⏭️ Déjà traité (hash) : BAC.pdf
2026-03-04 10:00:58,885 | INFO | loader | ⏭️ Déjà traité (hash) : Attestation d’assurance pour la nouvelle période de garantie.pdf
2026-03-04 10:00:58,886 | INFO | loader | ⏭️ Déjà traité (hash) : KBIS.pdf
2026-03-04 10:00:58,887 | INFO | loader | ⏭️ Déjà traité (hash) : Kbis KDYEM.pdf
2026-03-04 10:00:58,890 | INFO | loader | ⏭️ Déjà traité (hash) : RNBac.pdf
2026-03-04 10:00:58,893 | INFO | loader | ⏭️ Déjà traité (hash) : BTS.pdf
2026-03-04 10:00:58,896 | INFO | loader | ⏭️ Déjà traité (hash) : KDYEM GAYA (1).pdf
2026-03-04 10:00:58,897 | INFO | loader | ⏭️ Déjà traité (hash) : CVFACS-AUTO-A568855-02-20230313-150255.PDF
2026-03-04 10:00:58,901 | INFO | loader | 📊 Total documents chargés : 0
2026-03-04 10:00:58,901 | ERROR | run_ingestion | ❌ Aucun document chargé. Vérifiez le dossier data/raw/
